ord,TIME,LATITUDE,LONGITUDE,ALTITUDE,VEHICLE_ID,BAROMETRIC_PRESSURE,ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,TERM FUEL TRIM BANK 1,FUEL_ECONOMY,LONG TERM FUEL TRIM BANK 2,FUEL_TYPE,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,aqui
1,"1,51E+12",-583.206.639,-3.520.573.159,42,control1,100,95,"56,10","43,10",4,816,39,"4,73",,,,,34,,,,"0,80",0:45:33,"21,20",MIL is OFF0 codes,,"52,90","1,00",
2,"1,51E+12",-583.206.639,-3.520.573.159,42,control1,100,95,"56,10","42,00",4,807,37,"4,73",,,,,34,,0,,"0,80",0:45:37,"21,60",MIL is OFF0 codes,,"52,50","1,00",
3,"1,51E+12",-583.201.429,-3.520.570.624,44,control1,100,94,"56,10","50,60",4,1559,37,"11,51",,,,,32,,9,,"-6,20",0:45:41,"29,80",MIL is OFF0 codes,,"56,90","1,00",
4,"1,51E+12",-5.831.937,-3.520.569.123,41,control1,100,93,"56,90","41,20",4,1692,46,"10,29",,,,,32,,10,,"3,10",0:45:45,"29,00",MIL is OFF0 codes,,"71,80","1,00",
5,"1,51E+12",-583.184.493,-3.520.559.225,46,control1,100,91,"56,90","55,70",4,863,52,"7,25",,,,,32,,11,,"4,70",0:45:49,"25,90",MIL is OFF0 codes,,"58,00","1,00",
6,"1,51E+12",-583.183.485,-3.520.548.621,47,control1,,90,"57,30","69,80",4,955,66,"9,2",,,,,32,,8,,"0,80",0:45:53,"27,50",MIL is OFF0 codes,,"60,40","1,00",
7,"1,51E+12",-583.182.818,-3.520.543.836,49,control1,100,90,"58,00","26,30",4,777,51,"9,39",,,,,32,,9,,"2,30",0:45:57,"29,80",MIL is OFF0 codes,,"46,30","1,00",
8,"1,51E+12",-58.318.184,-3.520.531.835,51,control1,100,90,"59,20","47,10",4,1549,41,,,,,,32,,13,,"-7,80",0:46:01,"29,40",MIL is OFF0 codes,,"69,00","1,00",
9,"1,51E+12",-583.184.651,-3.520.519.257,52,control1,100,89,"60,00","49,40",4,2106,43,"16,1",,,,,32,,12,,"1,60",0:46:05,"31,80",MIL is OFF0 codes,,"70,60","1,00",
10,"1,51E+12",-58.319.008,-3.520.507.015,52,control1,100,89,"60,00","62,40",4,1080,53,"9,48",,,,,32,,15,,"-1,60",0:46:09,"28,20",MIL is OFF0 codes,,"62,00","1,00",
11,"1,51E+12",-583.194.154,-3.520.489.761,53,control1,100,89,"60,40","61,20",4,1384,50,"12,41",,,,,31,,20,,"-3,90",0:46:13,"30,20",MIL is OFF0 codes,,"65,90","1,00",
12,"1,51E+12",-583.201.976,-3.520.471.768,54,control1,100,89,"60,80","56,50",4,1727,37,"14,34",,,,,32,,18,,"-2,30",0:46:17,"31,00",MIL is OFF0 codes,,"69,00","1,00",
13,"1,51E+12",-583.208.991,-3.520.452.347,54,control1,100,89,"60,40","61,20",4,934,54,"8,45",,,,,32,,20,,"3,90",0:46:21,"27,10",MIL is OFF0 codes,,"60,40","1,00",
14,"1,51E+12",-583.215.404,-3.520.430.514,54,control1,100,89,"60,00","63,50",4,1040,49,"9,5",,,,,32,,23,,"3,90",0:46:25,"28,20",MIL is OFF0 codes,,"61,20","1,00",
15,"1,51E+12",-583.224.181,-3.520.406.867,53,control1,100,89,"59,60","57,30",4,1204,48,"10,11",,,,,31,,28,,"-0,80",0:46:29,"28,60",MIL is OFF0 codes,,"63,10","1,00",
16,"1,51E+12",-583.235.435,-3.520.377.359,53,control1,100,89,"59,60","54,10",4,1464,20,"11,63",,,,,31,,33,,"4,70",0:46:33,"29,80",MIL is OFF0 codes,,"67,80","1,00",
17,"1,51E+12",-58.324.692,-352.034.775,52,control1,100,89,"58,80","20,80",4,1084,21,"3,67",,,,,33,,,,"6,20",0:46:37,"19,20",MIL is OFF0 codes,,"58,80","1,00",
18,"1,51E+12",-58.335.698,-3.520.184.102,46,control1,100,88,"58,40","21,60",4,1098,20,"3,81",,,,,33,,34,,"-0,80",0:46:41,"19,20",MIL is OFF0 codes,,"56,90","1,00",
19,"1,51E+12",-583.375.214,-3.520.159.614,46,control1,100,85,"56,50","38,00",4,1486,31,"8,33",,,,,32,,31,,"4,70",0:47:06,"26,70",MIL is OFF0 codes,,"71,00","1,00",
20,"1,51E+12",-583.394.806,-3.520.133.562,45,control1,100,85,"56,50","36,90",4,1569,27,"8,52",,,,,32,,32,,"0,80",0:47:10,"27,10",MIL is OFF0 codes,,"72,20","1,00",
21,"1,51E+12",-583.413.573,-3.520.108.263,45,control1,100,84,"56,10","30,20",4,1579,28,"7,09",,,,,32,,32,,"-3,90",0:47:14,"25,50",MIL is OFF0 codes,,"73,70","1,00",
22,"1,51E+12",-583.432.009,-3.520.084.685,45,control1,100,84,"56,10","31,80",4,1572,28,"7,1",,,,,32,,32,,"3,10",0:47:18,"25,50",MIL is OFF0 codes,,"73,30","1,00",
23,"1,51E+12",-583.451.733,-3.520.059.214,45,control1,100,83,"55,70","32,20",4,1570,29,"7,48",,,,,32,,32,,"1,60",0:47:22,"25,90",,,"72,90","1,00",
24,"1,51E+12",-583.472.461,-3.520.032.932,46,control1,100,83,"55,70","31,40",4,1589,27,"7,47",,,,,32,,,,"3,10",0:47:26,"25,90",,,"73,30","1,00",
25,"1,51E+12",-58.349.132,-3.520.004.358,45,control1,100,83,"55,70","32,20",4,1628,28,"7,6",,,,,32,,35,,"-2,30",0:47:30,"26,30",MIL is OFF0 codes,,"73,70","1,00",
26,"1,51E+12",-583.515.169,-3.519.975.909,44,control1,100,83,"55,70","22,40",4,1704,20,"4,37",,,,,32,,36,,"0,00",0:47:34,"22,00",MIL is OFF0 codes,,"74,90","1,00",
27,"1,51E+12",-583.536.954,-3.519.945.879,43,control1,100,82,"55,70","20,00",4,1204,19,"3,26",,,,,33,,37,,"6,20",0:47:38,"19,20",MIL is OFF0 codes,,"58,80","1,00",
28,"1,51E+12",-583.558.388,-3.519.920.546,38,control1,100,82,"55,70","20,80",4,1246,21,"3,38",,,,,33,,,,"16,40",0:47:42,"20,00",MIL is OFF0 codes,,"60,00","1,00",
29,"1,51E+12",-583.582.325,-351.989.021,37,control1,100,82,"55,70","18,80",4,1256,20,"3,59",,,,,33,,36,,"23,40",0:47:46,"20,40",MIL is OFF0 codes,,"60,00","1,00",
30,"1,51E+12",-583.604.678,-351.986.016,37,control1,100,82,"55,30","20,40",4,1207,20,"3,51",,,,,33,,34,,"11,70",0:47:50,"20,00",MIL is OFF0 codes,,"59,20","1,00",
31,"1,51E+12",-583.626.123,-3.519.833.432,37,control1,100,81,"55,30","22,00",4,1108,35,"3,57",,,,,33,,32,,"5,50",0:47:54,"19,20",MIL is OFF0 codes,,"56,90","1,00",
32,"1,51E+12",-583.645.382,-3.519.807.623,37,control1,100,81,"55,30","48,20",4,1064,43,"7,58",,,,,32,,,,"6,20",0:47:58,"26,30",MIL is OFF0 codes,,"64,30","1,00",
33,"1,51E+12",-583.664,-3.519.779.421,36,control1,100,81,"55,30","50,20",4,1078,44,"7,71",,,,,32,,33,,"3,90",0:48:02,"26,70",MIL is OFF0 codes,,"64,30","1,00",
34,"1,51E+12",-583.686.071,-3.519.754.541,36,control1,100,81,"55,30","49,40",4,1092,33,"7,81",,,,,32,,32,,"-2,30",0:48:06,"26,70",MIL is OFF0 codes,,"64,70","1,00",
35,"1,51E+12",-583.711.282,-3.519.733.828,38,control1,100,81,"55,30","18,00",4,1058,21,"3,08",,,,,33,,28,,"0,00",0:48:10,"18,40",MIL is OFF0 codes,,"65,90","1,00",
36,"1,51E+12",-583.734.396,-3.519.718.831,39,control1,100,81,"55,30","23,50",4,924,33,"3,46",,,,,34,,24,,"7,80",0:48:15,"18,80",MIL is OFF0 codes,,"65,90","1,00",
37,"1,51E+12",-583.755.172,-3.519.706.064,40,control1,100,81,"54,90","60,40",4,1212,48,"10,3",,,,,33,,28,,"-1,60",0:48:19,"29,00",MIL is OFF0 codes,,"61,20","1,00",
38,"1,51E+12",-583.778.873,-3.519.689.127,40,control1,100,80,"55,30","58,40",4,1443,21,"12,06",,,,,32,,33,,"-7,80",0:48:23,"30,20",MIL is OFF0 codes,,"67,50","1,00",
39,"1,51E+12",-583.807.305,-3.519.670.246,41,control1,100,80,"55,30","38,80",4,1097,40,"6,32",,,,,32,,34,,"3,10",0:48:27,"24,70",MIL is OFF0 codes,,"67,10","1,00",
40,"1,51E+12",-583.836.513,-3.519.650.388,41,control1,100,80,"55,30","44,30",4,1146,37,"7,28",,,,,32,,,,"3,90",0:48:31,"25,90",MIL is OFF0 codes,,"65,50","1,00",
41,"1,51E+12",-583.864.304,-3.519.629.755,43,control1,100,80,"55,30","44,70",4,1134,38,"7,18",,,,,32,,34,,"3,90",0:48:35,"25,90",MIL is OFF0 codes,,"65,50","1,00",
42,"1,51E+12",-583.892.708,-3.519.610.156,43,control1,100,80,"55,30","44,70",4,1124,39,"7,12",,,,,32,,34,,"-2,30",0:48:39,"25,50",MIL is OFF0 codes,,"65,50","1,00",
43,"1,51E+12",-583.921.584,-3.519.590.546,45,control1,100,80,"55,30","41,20",4,1115,19,"6,35",,,,,33,,33,,"3,10",0:48:43,,MIL is OFF0 codes,,"66,30","1,00",
44,"1,51E+12",-583.947.883,-3.519.572.058,46,control1,100,81,"55,30","19,60",4,1021,21,"2,77",,,,,33,,31,,"3,10",0:48:47,"18,40",MIL is OFF0 codes,,"65,50","1,00",
45,"1,51E+12",-583.968.607,-351.955.705,45,control1,100,81,"55,30","43,10",4,1251,57,"7,39",,,,,33,,27,,"6,20",0:48:51,"26,30",MIL is OFF0 codes,,"67,50","1,00",
